"DateTime","Prices","Volume","OffPeak","OffPeak1","SunPeak","OffPeak2","BasePrice","BaseVolume","PeakPrice","PeakVolume"
2017-01-01 17:30:00,50.52,315.4,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 17:45:00,56.52,600.6,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 18:00:00,49.06,423.5,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 18:15:00,49.08,311.8,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 18:30:00,49.01,297.9,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 18:45:00,46.55,443.5,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 19:00:00,55.83,456.4,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 19:15:00,47.29,279.8,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 19:30:00,45.74,290.5,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 19:45:00,40.36,601.9,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 20:00:00,57.29,714,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 20:15:00,46.34,263.1,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 20:30:00,40.47,360.1,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 20:45:00,38.07,656.2,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 21:00:00,43.81,291.3,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 21:15:00,41.02,201,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 21:30:00,38.08,221.5,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 21:45:00,38.09,294.4,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 22:00:00,49.92,661.2,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 22:15:00,48.79,342.7,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 22:30:00,40.66,321.8,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 22:45:00,24.26,616.4,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 23:00:00,48.8,625.3,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 23:15:00,43.78,354.9,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 23:30:00,16.12,331,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-01 23:45:00,0.02,706.3,26.56,20.61,28.32,38.47,30.04,41385.4,33.52,25779.4
2017-01-02 00:00:00,49.09,640.1,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 00:15:00,40.4,231.6,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 00:30:00,32.95,373.1,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 00:45:00,17.64,558.1,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 01:00:00,42.7,464.8,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
2017-01-02 01:15:00,40.2,225,38.68,35.95,54.85,44.14,47.33,45778.2,55.97,21781.8
