,0,1,2,3,4,5,6,7
30,13989.079228173649,54268.55288928574,72307.31867634524,71551.45422626114,29867.033084510676,69387.84271963243,71847.3124600314,77934.4442016331
31,13989.055909308247,54267.71515319191,72290.56502658606,71535.71979074627,29867.04150265156,69389.32238565049,71831.2424717708,77931.33865573097
32,13989.041411327637,54267.14951783309,72274.47591943467,71520.88999924816,29867.052696285646,69390.50075577135,71815.90651433684,77928.45044923316
33,13989.032004324357,54266.791325398044,72258.98527415238,71506.83851370147,29867.062585096122,69391.43900471351,71801.21896114673,77925.74991734388
34,13989.025723770495,54266.59168345001,72244.03864150151,71493.4635304152,29867.06978335665,69392.18494166077,71787.11019791302,77923.2124461427
35,13989.021486238347,54266.51304119646,72229.59045252262,71480.6824224686,29867.074118205313,69392.77595513884,71773.52300651222,77920.81768728654
36,13989.018655995886,54266.526365180165,72215.60203923658,71468.42762796606,29867.075894920607,69393.24134505178,71760.40986157843,77918.54883946947
37,13989.016833560661,54266.60914993671,72202.04018269552,71456.64347397117,29867.07555898522,69393.60413744538,71747.73088224618,77916.39201462116
38,13989.01575135477,54266.74394006894,72188.87602860613,71445.28371138315,29867.07355334528,69393.88248732765,71735.45226371399,77914.33569534768
39,13989.015220696932,54266.917203159035,72176.08426399574,71434.30959407,29867.070266344672,69394.09076116927,71723.54506562992,77912.37028117465
40,13989.015103559037,54267.118459686855,72163.64248265231,71423.68837695288,29867.066019366066,69394.2403726622,71711.98426915728,77910.48771566719
41,13989.015296518875,54267.33960762101,72151.53068950231,71413.39213796305,29867.061070407934,69394.34042897676,71700.74803847134,77908.68118398348
42,13989.015720951345,54267.574396843396,72139.73090894494,71403.39685126898,29867.055622975848,69394.39823144497,71689.81713918525,77906.94486987063
43,13989.016316595707,54267.81801973164,72128.22687214988,71393.68165603548,29867.04983581009,69394.41966425006,71679.174478111,77905.27376171919
44,13989.017037080954,54268.06679208115,72117.00376512832,71384.22827774394,29867.043831737523,69394.40949677225,71668.80473741231,77903.66349846905
45,13989.017846676425,54268.317904375115,72106.04802412746,71375.02056884294,29867.037705147286,69394.37161921765,71658.69408255577,77902.11024750186
46,13989.018717864152,54268.56922786693,72095.34716822123,71366.04414293122,29867.031528076343,69394.30922658736,71648.82992818742,77900.610608006
47,13989.01962949125,54268.81916336321,72084.88966139713,71357.28608242002,29867.02535507127,69394.22496256174,71639.20074965291,77899.16153449623
48,13989.02056534929,54269.06652329956,72074.66479818901,71348.73470403296,29867.01922703026,69394.1210322193,71629.79593058297,77897.76027621535
